issueID,createdAt,createdBy,title,category,projectName,status,description,resolutionStatus,completedAt
CR-202604-001,20260401,Tanaka,ログイン画面で認証エラー発生,障害,PKG,修正中/対応中,特定ユーザーでログイン時に500エラーが発生,認証APIのNULL処理不備を修正中,
CR-202604-002,20260402,Suzuki,帳票CSVの列順変更要望,顧客要望,SKB,修正中/対応中,顧客より売上CSVの列順を変更したい要望,設計変更を反映し実装中,
CR-202604-003,20260403,Sato,バッチ処理時間短縮の改善案,改善,MJR,完了,夜間バッチのSQL性能改善,SQL改善により30分短縮を確認,20260409
CR-202604-004,20260404,John,試験仕様書レビュー残件,残作業,SMT,修正中/対応中,結合試験仕様書の未レビュー項目が残存,レビュー指摘を反映して更新中,
CR-202604-005,20260406,Yamada,画面遷移時にメニュー崩れ,障害,JPB,新規/未着手,SP表示でサイドメニューが崩れる,現象受付済み,
CR-202604-006,20260407,Miller,検索条件保存機能の追加,顧客要望,RLB,新規/未着手,検索条件を次回利用時も再利用したい,要件整理前,
CR-202604-007,20260408,Kobayashi,メール文言の改善提案,改善,PKG,完了,通知メールの文言をわかりやすくしたい,文言変更を反映しレビュー完了,20260410
CR-202604-008,20260408,Lee,運用手順書の残タスク,残作業,SKB,新規/未着手,手順書のバックアップ章が未作成,担当割当済み,
CR-202604-009,20260409,Smith,顧客からの権限設定方法QA,QA,MJR,完了,権限設定方法に関する問い合わせ,回答済みでクローズ,20260410
CR-202604-010,20260410,Takahashi,注文登録で二重送信,障害,SMT,調査中,注文ボタン連打で重複登録,フロントとAPI双方のログ調査中,
CR-202604-011,20260411,Anderson,承認一覧の並び順要望,顧客要望,JPB,保留,承認一覧を申請日降順にしたい,優先度判断のため保留,
